ID,Keyword,Source,URL,Title,Subtitle,Summary,Rating,MemberOnly,Date,Reactions (number format),Sentiment Analysis
1,chatgpt AND code,Medium,https://medium.com/artificial-corner/youre-using-chatgpt-wrong-here-s-how-to-be-ahead-of-99-of-chatgpt-users-886a50dabc54,You’re Using ChatGPT Wrong! Here’s How to Be Ahead of 99% of ChatGPT Users,Master ChatGPT by learning prompt engineering.,Most of us use ChatGPT wrong.,30000,True,,30000,Positive
2,chatgpt AND code,Medium,https://kozyrkov.medium.com/introducing-chatgpt-aa824ad89623,Introducing ChatGPT!,The Revolutionary New Tool for Conversation Generation,"Today, I want to demystify ChatGPT — a fascinating new application of GANs* (Generative Adversarial Networks) that has been generating a lot of buzz in the AI community.",8600,True,,8600,Positive
3,chatgpt AND code,Medium,https://medium.com/towards-data-science/how-chatgpt-works-the-models-behind-the-bot-1ce5fca96286,How ChatGPT Works: The Model Behind The Bot,A brief introduction to the intuition and methodology behind the chat bot you can’t stop hearing about.,"This gentle introduction to the machine learning models that power ChatGPT, will start at the introduction of Large Language Models, dive into the revolutionary self-attention mechanism that enabled GPT-3 to be trained, and then burrow into Reinforcement Learning From Human Feedback, the novel technique that made ChatGPT exceptional.",7600,True,,7600,Positive
4,chatgpt AND code,Medium,https://medium.com/mlearning-ai/the-chatgpt-list-of-lists-a-collection-of-1500-useful-mind-blowing-and-strange-use-cases-8b14c35eb,"The ChatGPT list of lists: A collection of 3000+ prompts, examples, use-cases, tools, APIs, extensions, fails and other resources.",,"Oh, ChatGPT! 5 months on the market and a not so tiny ecosystem has developed all on its own, with lists of prompts, tips, APIs, use cases, extensions, success stories and failures. ChatGPT is the first true foundation model for the mass-market. Some of the posts, blogs, and articles dealing with this new phenomenom, well, really don’t deserve any attention. Like “The 10 Best Side Hustles with ChatGPT that Can Earn You $4,000 a Week.” But some of them are genuinely interesting. I’ll try to give you an overview on the more exciting applications.",6600,False,,6600,Positive
5,chatgpt AND code,Medium,https://medium.com/bitsrc/i-asked-chat-gpt-to-build-a-to-do-app-have-we-finally-met-our-replacement-ad347ad74c51,I asked Chat GPT to build a To-Do app — Have we finally met our replacement?,"Are we about to be replaced by an AI, again?",We saw the release of GitHub Copilot in October of 2021 and the whole dev community went crazy.,5400,False,,5400,Positive
6,chatgpt AND code,Medium,https://aruva.medium.com/using-chatgpt-to-build-system-diagrams-part-i-69efc7603926,Using ChatGPT to build System Diagrams — Part I,,Interested in Mindmaps — read our blog post on using plantUML with ChatGPT to create awesome Mindmaps,4600,True,,4600,Positive
7,copilot,Medium,https://clivethompson.medium.com/possibly-ive-been-using-copilot-the-ai-for-writing-code-from-openai-1782fc5c9c27,,,"Possibly! I've been using Copilot, the AI for writing code, from OpenAI. It's pretty good -- but only about 2/3 of the time. When it gets things wrong it gets 'em really wrong ...",3700,False,,3700,Positive
8,copilot,Medium,https://medium.com/geekculture/the-5-paid-subscriptions-i-actually-use-in-2023-as-a-software-engineer-9418515a315a,The 5 paid subscriptions I actually use in 2023 as a software engineer,Tools I use that are cheaper than Netflix,I care a lot about the tools I use. Especially when they aren’t free.,3600,True,,3600,Positive
9,chatgpt AND code,Medium,https://clivethompson.medium.com/why-chatgpt-wont-replace-coders-just-yet-87487a9dda4e,Why ChatGPT Won’t Replace Coders Just Yet,"The “bullshit” problem turns up in code, too","Lately I’ve been seeing people using ChatGPT to write code. One guy posted on Twitter about how he used it to make a simple version of Pong “in under 60 seconds”, while another had it write a Python script to rename files.",2800,True,,2800,Positive
10,chatgpt AND code,Medium,https://tirendazacademy.medium.com/how-to-use-chatgpt-in-daily-life-4688f7afb930,How to Use ChatGPT in Daily Life?,Save time and money using ChatGPT,"AI has made a huge leap in the past few years and this is just the beginning! With tools like ChatGPT and Midjourney, many have seen the power of AI. AI tools are now at the center of our lives.",2300,False,,2300,Positive
