id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,Summary,posted_on,Video_URL,Image_URL,URL,Positive_Reactions,Negative_Reactions,Sentiment Analysis,Rating
pfbid02XgnKRwVv2zYzqLZCZoASYx86FsJryPyujqnYVwh3ExX3U5sojH7z6zQBQ6juxi7El,NVIDIA AI,0,2,0,0,0,0,0,0,2,2," Training neural networks to build other deep networks?  Technical walkthrough: Our latest research provides insights for advancing neural network design, and highlights meta-network architecture & optimization techniques for #deeplearning. #HPC #datascience.Read more: https://nvda.ws/45yAJSJ",2023-08-18T01:37:54.424853,[],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/14431281525084588784?url=https%3A%2F%2Fdeveloper-blogs.nvidia.com%2Fwp-content%2Fuploads%2F2023%2F07%2Fnetwork-graphic-1.jpg&fb_obo=1&utld=nvidia.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbEDPAwW_BWTY0X16zWlofBwV65KEATkaQQwiLZ4q8EQww&oe=64E0222C&_nc_sid=ca20c4,https://www.facebook.com/NVIDIAAI/posts/pfbid02XgnKRwVv2zYzqLZCZoASYx86FsJryPyujqnYVwh3ExX3U5sojH7z6zQBQ6juxi7El?__cft__[0]=AZVfrYSXVdcPjPpAaPBMzMeJAl9y4pE9mpFgw2g5WDDLwlcrJNMGs1riFsXgNWJtxrbRecTnhWzAWrVnzZEIx-Bl1DceT-jR4GE-clWq70PusZyRcn19BTV7cmZahU0xZseklIRSJNlCYZgGNh6XUanrtMVYdAqx76zN_0TiKgkkAl2g8XqZMohtvY7h0KjLkCaGJ1w93oao04Npt8NSEW7u&__tn__=%2CO%2CP-R,2,0,positive,2
pfbid0whebBzHftkKuhBpG3vgifpKmJsfexahSAmkqjEd4y2TizgTkjSDb4iGPhsRwcySKl,NVIDIA AI,0,4,0,0,0,0,0,0,4,0,"Join NVIDIA's Anand Muralidaran, Global Business Development for Retail, CPG & QSR, and #AI experts as they discuss retail innovation strategies and hear how to deliver exceptional digital and in-store experiences at #VMwareExplore on August 21, 2:00 - 3:30 PM PDT. https://nvda.ws/3OHP88x",2023-08-17T23:53:59.645924,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/366747064_677145837783034_3404313578997611592_n.jpg?stp=dst-jpg_s960x960&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=UEwX51kkF8AAX9Nrz6e&_nc_ht=scontent.fcai19-7.fna&oh=00_AfAaw9r2htYQDr_MmCv3QEE729nsLS1DPSKNSyuLDNPkBQ&oe=64E47CDE,https://www.facebook.com/NVIDIAAI/posts/pfbid0whebBzHftkKuhBpG3vgifpKmJsfexahSAmkqjEd4y2TizgTkjSDb4iGPhsRwcySKl?__cft__[0]=AZXQeyym0OMoU4m0oH9uf1TsVb71qOGxaZHuEE5vGnsg5Il2wkSRjVLETGcYnHiNt_9bqQZY7PdHrnPpQC0-VjRRYLupq5K6KNnSeG7vLSuHQOhQrdoz97sJQsDjJlfDs5z_DcQckmlbd3XzEX1-NOv0Sk9ykRSAGWIZFJiu1-qxD6vNkAycHdlESfpfmp7DtGBcjW0L-KHghcsfbQbSjxEt&__tn__=%2CO%2CP-R,4,0,positive,4
pfbid0bgkBydTPKj756YeVJ2cY7HKfcyvU2zYLsu4aFdMaag5ee2tjKsXvnGWU1v2GaiQsl,NVIDIA AI,0,4,0,0,0,0,0,0,4,0,Learn how NVIDIA and Generative Red Team Challenge are giving thousands of hackers the space to test and evaluate the latest generative AI platforms at DEF CON.The challenge enables the hacker community to be at the forefront of building safe and trustworthy AI in an unprecedented manner. ,2023-08-17T22:53:59.698563,[],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/7878606628636544559?url=https%3A%2F%2Fblogs.nvidia.com%2Fwp-content%2Fuploads%2F2023%2F08%2FDefcon-Hacker-Trusted-AI-blog-green-1280x680-1.jpg&fb_obo=1&utld=nvidia.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbG9fA_xz5qlx5BHBZ4nJM2iwE12gJ53PPLEaBBdyRTAcA&oe=64E00761&_nc_sid=dbad39,https://www.facebook.com/NVIDIAAI/posts/pfbid0bgkBydTPKj756YeVJ2cY7HKfcyvU2zYLsu4aFdMaag5ee2tjKsXvnGWU1v2GaiQsl?__cft__[0]=AZXVN0JToiAGpjgshdTbgfN9HhWFKnFLGLVFndSLda1ra6PDCqhizXByPDxehDzxRb8BJeRsiTcNUQgiKx8WVjklBI5XUD9msUfSgHDZrKUSi7rSoAdG3t8E31ecpHnTE7KgXGHZ5nAFxUpikrC6IXcz9rcNsFeyc_oD8Z0oCDBZJwnTzBm8AxNFtb9uDAvTzt57FDfYTKftArOIGrMfE9_I&__tn__=%2CO%2CP-R,4,0,positive,4
pfbid024vaZ4f6ExSfnD49QFFyM2R3xeXAc8srGU4eMGowrx8ps4nMQKhdxmhj2EvHeTNxjl,NVIDIA AI,1,18,2,0,0,0,0,0,20,1,"Congratulations to the #NVIDIAInception members who showcased their applications at #SIGGRAPH2023.NVIDIA Inception provides startups with the latest developer resources, preferred pricing on NVIDIA hardware and software, and exposure to the venture capital community. Learn more and apply > https://nvda.ws/47z3iRQ",2023-08-17T20:53:59.796274,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/368203032_677069514457333_664900476645195511_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=BoUF9sQsP9UAX_FHBjS&_nc_ht=scontent.fcai19-7.fna&oh=00_AfA5HNypM0T5D7w44tqB8XVwz5PyrMFrTiZgu_tKg28TBA&oe=64E39A0C,https://www.facebook.com/NVIDIAAI/posts/pfbid024vaZ4f6ExSfnD49QFFyM2R3xeXAc8srGU4eMGowrx8ps4nMQKhdxmhj2EvHeTNxjl?__cft__[0]=AZW7fBqhnHbboh5N8z4K1SLwYFcOMZuK9II8seleWV9KqNP0qNFcSOgijVfxUdtKlN-0jDshY-94BQnDeN6CNRC0dsxeZuRNpnpX2OwhLOeu68ZPjcOmaNlf-KqwyVh-nTXMoW-48v2gADy1SAmS5QuL47EvJbs7h2YpbZUzEP5ZMRjTc3XhA2Ig09nzy9HxCzBWcBXRWfRX_Tm_Wcyyum3e&__tn__=%2CO%2CP-R,21,0,positive,21
pfbid02s8p9rXo91DZoVjSNBdKNt6GtE6z2DxBmMeoUeCzWKQmZYaQVSsdLgPzBtFJ3Ykevl,NVIDIA AI,0,40,0,0,0,0,0,0,40,2,"NVIDIA AI playground on NGC empowers you to experience state-of-the-art #LLMs like Llama 2 on GPU-accelerated stack, directly from your browser without any setup. ",2023-08-17T01:53:59.888188,[],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/5542144220579380821?url=https%3A%2F%2Fcatalog.ngc.nvidia.com%2Fdemos%2Fllama2.jpg&fb_obo=1&utld=nvidia.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbGWlGIbqmXAod1ZpPi-MwcSOMl6pYhjOjIeAPQBbWXL6Q&oe=64E08FA9&_nc_sid=dbad39,https://www.facebook.com/NVIDIAAI/posts/pfbid02s8p9rXo91DZoVjSNBdKNt6GtE6z2DxBmMeoUeCzWKQmZYaQVSsdLgPzBtFJ3Ykevl?__cft__[0]=AZVVOOyXJZcw979bD0nTLBCzhZIwdSRGKr4jYBFemZtqp75iE64P5SAtLQqOjSoDuR3AIkcW6s0J39q4t33rMILwZbD-XkR-UTulXHl1W5vkNbPWSQfsWF7tZcorBDrQDyuV0sGeJcdAF1dMUpoJxvjfPY9_pO_PQmIVa11SXDAdcNtU81zvCXnh9RRB6VOMeltMcGABDkv7u-Sr5wDdEkX1&__tn__=%2CO%2CP-R,40,0,positive,40
pfbid08Arj43Wm4LELRttjSCm4dx5qyshxYGpnjNykbZzKw1sU1e6QM4XbTnUHt18Rbgs9l,NVIDIA AI,0,18,2,0,0,0,0,0,20,3,"Just 6 more days! Don't miss NVIDIA founder and CEO Jensen Huang live on stage with VMware CEO Raghu Raghuram at the #VMwareExplore General Session Keynote on August 22, 9am PDT. Save the date. https://nvda.ws/3Oy05cz",2023-08-17T01:54:05.276746,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/367996338_676497384514546_3603516827144516680_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-7&_nc_sid=730e14&_nc_ohc=Pda0P7uo6Z8AX8DJMzf&_nc_ht=scontent.fcai19-7.fna&oh=00_AfAJPttspH0rD5wQEi2V6b3NgzYz2jxu28LSqsaX5RP7pQ&oe=64E32DA8,https://www.facebook.com/NVIDIAAI/posts/pfbid08Arj43Wm4LELRttjSCm4dx5qyshxYGpnjNykbZzKw1sU1e6QM4XbTnUHt18Rbgs9l?__cft__[0]=AZUaDfbVYUSxODVIPW82NuumoHyd8kRaxcI89Po7cUq4gDyx0g3BL2iuA3Hj-qyK5LaIDQOqy6H07NUvfFw2oZEQjoD9qzuteii_pm9SuM-se7lu7H4GkFZLV1TiLOVEs6iepYLCLa6gVGwzd4byJxhhtSNaeKnYzYff6kpvksj99Z_OFFMeyfCpXVH6UohLS_KCh5GYyN4mYgD0QdTHxfOt&__tn__=%2CO%2CP-R,20,0,positive,20
pfbid0euGyonYSyhEYJVQfELfdcai1hWeykiKUvVG3hQZNLxytVckcyvZu55784atd8wBml,NVIDIA AI,0,4,0,0,1,0,0,0,5,2,Hear innovators discuss opportunities for all industries to leverage the #3D internet to accelerate their path to automation and digitalization. Watch the full #GTC23 session on-demand: https://nvda.ws/43Uth3c,2023-08-17T01:54:05.365199,['blob:https://www.facebook.com/dac93f6f-2484-4a41-89ac-3a21647a7a68'],https://scontent.fcai19-7.fna.fbcdn.net/v/t15.5256-10/356578588_1348200862458247_7658110916804258436_n.jpg?stp=dst-jpg_p180x540&_nc_cat=109&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=FI5g9q1aj1YAX9STZcm&_nc_ht=scontent.fcai19-7.fna&oh=00_AfCprEWgBjge5KGfWAkbZthwQ314-PVZB4WlO6sXi8xF5Q&oe=64E36827,https://www.facebook.com/NVIDIAAI/posts/pfbid0euGyonYSyhEYJVQfELfdcai1hWeykiKUvVG3hQZNLxytVckcyvZu55784atd8wBml?__cft__[0]=AZX2GXsh2zL153eYEG9k2lj7VKLFvOEhqgoRUlDwt2WUxPgkrrgfyGmnyFX3GnluI-pACJMpxCtmGqei2OiicTilPM_tStfMwxR6m-SQp3EnTge7-AeWaU4PPpbIbJBB3G5i3dC4wp42V6mDZ2d3oRluhWYIbNoSJ2uwGl_dL6wIPcLfrJP-TgnYErOzL5z8Bi4Jr5bOf13L1UHdjaw6QGYMPBCTcRbucp-kZ9jhufykl8RHKRMLpDBpIUkpAV4d7ZE&__tn__=%2CO%2CP-R,5,0,positive,5
pfbid0Uin4RCL985uoKmze76H7UQoENDotDKqGGpzCmtkSqAnQ3HTpayvoYAqhfHd2Z9dul,NVIDIA AI,0,8,0,0,1,0,0,0,9,1,"Watch this video to learn about NVIDIA AI Foundations - a set of #AIfoundries that enable training, customization, and deployment of #generativeAI models. NeMo is for custom #LLMs, NVIDIA BioNeMo is for drug discovery, and NVIDIA Picasso is for image, video, and 3D applications. ",2023-08-16T01:54:05.460026,[],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/2437802010146837235?url=https%3A%2F%2Fi.ytimg.com%2Fvi%2Fum8BhDSuzoY%2Fhqdefault.jpg&fb_obo=1&utld=ytimg.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p480x250_q75&ccb=13-1&oh=06_AbE4cTKo6LVpte1Tol5BbVxGP5pyi5dy1WMgBs8PUW0CoQ&oe=64E0758C&_nc_sid=dbad39,https://www.facebook.com/NVIDIAAI/posts/pfbid0Uin4RCL985uoKmze76H7UQoENDotDKqGGpzCmtkSqAnQ3HTpayvoYAqhfHd2Z9dul?__cft__[0]=AZXl6K7A00Xw9bB5iAskP4Vb4eaP_T2nCJ-p0sHeklMKXHbxnUTdLp2BOva7aSCJUkRhbWnkIELI-lCu3ksZt7MfcsMQSBE0xTEOllwfVgn6fKZNCPQi4NFPZsPNEbdXBA3dkpC68MiWiKFv6Hjtl_wvMRR-1S3MfSlLU3GkbxXJbV7Mep0yG3fnAUSJyo-1lE_rc0HfXISdshhJob5BK3kr&__tn__=%2CO%2CP-R,9,0,positive,9
pfbid0Ys3Gb4kKY5tyqPEyvLRyC9Bk5UDpSnz5Ar4PRP6mRqxxFKLDp2YLZze7HyWzMwXml,NVIDIA AI,0,25,0,0,0,0,0,0,25,3, Rapid recap of #NVIDIAResearch released recently at #SIGGRAPH2023 https://nvda.ws/3QEqMPm,2023-08-16T01:54:11.613493,['blob:https://www.facebook.com/400bc2b3-1dac-471d-8154-1bc01e8f0d83'],,https://www.facebook.com/NVIDIAAI/posts/pfbid0Ys3Gb4kKY5tyqPEyvLRyC9Bk5UDpSnz5Ar4PRP6mRqxxFKLDp2YLZze7HyWzMwXml?__cft__[0]=AZV62b0BL30M0Cg3ikLop794h_SCLgEysyqYWAov5qsaPzSJjVYHNeRBg1mbvQoGPGbI6GqMDVjD6_pgtuPFvlSckIuKYZHubcEhivWfWyjB6OVwr4snwWGB5eFV8zXtLWB-A0oA-_kN5gi3p5YiX_-IPz6cMOG2BuuieL6MakVQghPkcPtM2L0VIjS2jcK208Rt7DB8N80UgkRrWo87BJKx&__tn__=%2CO%2CP-R,25,0,positive,25
pfbid02aZsd82F6SXgnUZNJHnADGDHfYoVDLyntBPeekHjLCHfZV96PaRyupVjd2e3BahVql,NVIDIA AI,0,9,0,0,1,0,0,0,10,2,"With NVIDIA AI Playground, you can now experience the CLIP model running on GPU-accelerated stack directly from your browser. Just upload a few images to the CLIP model and ask a question to identify the most relevant image. #generativeaihttps://nvda.ws/3E0bNb7",2023-08-16T01:54:11.659380,['blob:https://www.facebook.com/01451ad4-26e3-49b8-8d77-04357129b04b'],,https://www.facebook.com/NVIDIAAI/posts/pfbid02aZsd82F6SXgnUZNJHnADGDHfYoVDLyntBPeekHjLCHfZV96PaRyupVjd2e3BahVql?__cft__[0]=AZVstW35bb8FYq0MZv28Pfhr_6FVLY6mBnjNIq38IHVqWMnatb2MozcF5H_z56b2w2tV72OlPFEXAe7etGAAyRFc60Am_5QdUaZT2fP25WwfwhvPmFXwtF-ET5SJjAYEswKOFLIzWXVJprGxZB7S9v6C-pEXWBglPhvX2AuiA4rpXKFz9z1kDRXfAHXetHrRcCKYPkcN49QQnnbF5QfYsYL2odG6Rt2-7pTlHqfKm6iRBA&__tn__=%2CO%2CP-R,10,0,positive,10
