id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,Summary,posted_on,Video_URL,Image_URL,URL,Positive_Reactions,Negative_Reactions,Sentiment Analysis,Rating
pfbid0EtQmWxerYtMsTxd898nAgtHYrmgcmwz1BCB74kPN7UqxNnfSL3NsN92doYccrVHvl,Machine Learning and AI,0,8,0,0,0,0,0,0,8,2,"because its always hard to remember pandas' offerings, especially when you are not coding every day, I created a cheat sheet for myself and put it on Medium, let me know if you also find it useful https://medium.com/@vi.../romancing-with-pandas-3d254593fc16#pandas #coding #python #datacleaning #datapreparation  #datascience",2023-04-04T00:00:00,[],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/11069978785697026264?url=https%3A%2F%2Fmiro.medium.com%2Fv2%2Fresize%3Afit%3A1200%2F1%2A6nrbWvYrfk22PbgV4fhroQ.png&fb_obo=1&utld=medium.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbFExTKlPbSs6X15M65efV7cfPoS-sb5jqfq63ruNhB1lw&oe=64E05DE3&_nc_sid=ca20c4,https://www.facebook.com/machinelearningandAI/posts/pfbid0EtQmWxerYtMsTxd898nAgtHYrmgcmwz1BCB74kPN7UqxNnfSL3NsN92doYccrVHvl?__cft__[0]=AZXzErAsysFkQBmnAEKPQkE-1-cc8-DdcO3AL7TVWmcL7VF33gVKM_9Kmxopbm1rM4aWoX2LprMN8t0TUasFgZ8I_JVZPbwqmm1-fC6CuZ7fihEnSFC3dq3uCzn2Z8M9Fixihr4sxRXBHd7VFDM-v7IDq6vGvZTmc5EmfwAsKnNRGNX-KI1TsvxBhNuNQZneFmwhOYaEulLqyv6FLecXHbl-&__tn__=%2CO%2CP-R,8,0,positive,8
pfbid0EC7UhQo7pjSSB8FSvGjjujQxgaW6zm8z6T6fNWWP65noitAyJY3aD4PdbM5UmLHSl,Machine Learning and AI,0,10,0,0,0,0,0,0,10,2,https://stanford.edu/~shervine/teaching/cs-229/,2023-01-09T00:00:00,[],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/17833918482269432998?url=https%3A%2F%2Fstanford.edu%2Fimages%2Fstanford-logo.png%3Ff7176222abba492681ca93190e078e48&fb_obo=1&utld=stanford.edu&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbEa-qMwgLiJ0XVUVp2Suq6C9gF6MUgfM5T5P_SGUtgo0Q&oe=64E059AC&_nc_sid=dbad39,https://www.facebook.com/machinelearningandAI/posts/pfbid0EC7UhQo7pjSSB8FSvGjjujQxgaW6zm8z6T6fNWWP65noitAyJY3aD4PdbM5UmLHSl?__cft__[0]=AZUGbWcBcCpyzxaIbP_szHCzQQkV-ua-Br1RBXS4ZHTPkXRS9Plu_LRqzDVapY6mTC31Fh8_81quZa9v9xLS3NjBKkaKNJd10Nhb50yUcpHE_mJWrXnAMehPn-by8Zev1UoRA5jJXVhrprOF-LDxcfABi6kv2JuPEq0jIVeRsqDnk5U5E9YA231bhsZe6Kx1u6f02dS4tAmPyDqYCbxoR6VU&__tn__=%2CO%2CP-R,10,0,positive,10
pfbid02gqeoF7GNqVejZBwsatAVCWUQj4ffTs8AqxBiwpwWVmLvSzyBR53UT16Veki6HFjPl,Machine Learning and AI,0,10,0,0,0,0,0,0,10,3,great comics for basic ML concepts: ,2022-12-25T00:00:00,[],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/4565953232908887485?url=https%3A%2F%2Fcloud.google.com%2F_static%2Fcloud%2Fimages%2Fsocial-icon-google-cloud-1200-630.png&fb_obo=1&utld=google.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbHAN3s6sB5tOCVdz-aDK_NUIu-v29vFhRhiQvigPt6hOg&oe=64E05B63&_nc_sid=dbad39,https://www.facebook.com/machinelearningandAI/posts/pfbid02gqeoF7GNqVejZBwsatAVCWUQj4ffTs8AqxBiwpwWVmLvSzyBR53UT16Veki6HFjPl?__cft__[0]=AZVq20faqzkfJnefIUse87b0DS6ZA7wGgFmGbDGS_YZDSbVHHCbJJxwqvMCG_v4Qmzxz0i8UcMavkeIn6rnevfDIvozQIWF1iF6_KSq2kPvGX6H660fha421SJb0QFqyBIWANCXbkkM_6TMwn-Ogy-0rZNM628nH8UdDl0c6Pg34Tkcqfdk6BwwkULzF1DcOMhufp6gnd-Hs8PEP4kPwDHsQ&__tn__=%2CO%2CP-R,10,0,positive,10
pfbid06jkQjpAGZtZK4NA3ue68p7xBX6AwsbYB4bbWfHhac3swBbQUx9PUiGAkGbZVgMGHl,Machine Learning and AI,0,3,0,0,0,0,0,0,3,1,"If you would like to become a moderator or publisher here, please reply to this thread. I will need to review your qualifications and experience to ensure that you are the right fit for the role. I will also need to discuss the expectations and responsibilities of the role with you. The base idea is, to share good and relevant knowledge with our the same minded people, and nothing else. I appreciate your interest!!!",2022-12-24T00:00:00,[],,https://www.facebook.com/machinelearningandAI/posts/pfbid06jkQjpAGZtZK4NA3ue68p7xBX6AwsbYB4bbWfHhac3swBbQUx9PUiGAkGbZVgMGHl?__cft__[0]=AZW6LmRDfAk1eRSibDckz9uFrf8d2x9PXAoocFpxLcZj0VtC7ApQjPQ1JP7i9J575NNT57reIiLfQxGDuLupTZKK7kLsva_zJ-Oz6RSjTQdlxGVd9csKliMaslqixiFisOCZnCXTaHC3QMneRMETR1QsDScTiHEclOGK9u1KXW5SlynBfnAYCCMMGrYSrv54eeBzdLGg9mlZqQwkHYxe_u0f&__tn__=%2CO%2CP-R,3,0,positive,3
pfbid02oxaP4dZLqnKZ3shD9xdzc26ajC5TKkmpBsA6jGWAMjtcyWRj5T4524gP847KmtEQl,Machine Learning and AI,3,19,2,0,0,0,0,0,21,1,"Introduction & Comparison of MLOps platforms: AWS Sagemaker, Azure Machine Learning, GCP Vertex AIhttps://medium.com/.../introduction-comparison-of-mlops...",2021-12-21T00:00:00,[],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/15245734933758049183?url=https%3A%2F%2Fmiro.medium.com%2Fmax%2F864%2F1%2ArVa_l-uOMZaARHrp4JHO1g.png&fb_obo=1&utld=medium.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p139x215_q75&ccb=13-1&oh=06_AbEqO2ja0-Qu2GbY81-UpayPCkhUNU8Te1FFcUHeYgKD_A&oe=64E0AAE4&_nc_sid=dbad39,https://www.facebook.com/machinelearningandAI/posts/pfbid02oxaP4dZLqnKZ3shD9xdzc26ajC5TKkmpBsA6jGWAMjtcyWRj5T4524gP847KmtEQl?__cft__[0]=AZVbvvmFeHGjX9wcL3EWw9ufXVClaLL1QCqQcx8NmY-QcX0jhzuTdGWVM3UNWkQxW5-2SBxXT29Rh4aqeekcdpk8470003fExjg5favW1Cg_3Fn020FoBD2ykrFNjVvVHGWUk568bAidY5a_tBw5Ua3rCtq7auZicBxERQW2zowA1X3od1xvVNCBqJ1924NGJwYwcm5YxtT5tk403nrLdi8oMSmjqx3aHjyFFCx_Ye-wDA&__tn__=%2CO%2CP-R,24,0,positive,24
pfbid021aWhpWvjF7He2msbZKUXYGmka3yaz5gf8NaRqU5b9BKhzEetSKS3ANQ2TNd7qoBpl,Machine Learning and AI,13,39,0,0,0,0,0,0,39,3,Bias ...,2021-06-21T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t1.6435-9/204127997_1996320583854285_1750574113491897399_n.png?stp=dst-png_p552x414&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=elGeZV51_28AX_5EF9A&_nc_ht=scontent.fcai19-7.fna&oh=00_AfCq5BSstYZE2621S4Y4gaTr0kwMAyOsTwxQrjdFrncRlA&oe=6506232A,https://www.facebook.com/machinelearningandAI/posts/pfbid021aWhpWvjF7He2msbZKUXYGmka3yaz5gf8NaRqU5b9BKhzEetSKS3ANQ2TNd7qoBpl?__cft__[0]=AZXDvL8M74H9fFrPLGYfF3rOmNvFyngAc6fmVn0u-ncN2TAcaTNMPz6vYE-ooUEAfRFx8qmCaaKMJQapl-eeBLH2b7ezZPWBSoX2Uuf7Qq8_36upimrnTaHGVisNIgFB9GsyB_xHJKmMCPl6uvrRzzskp9LZDAZVsmHKzmVEfc_-q7WZgqwxZf3FUxq1oNn47-uO1SE3ak10EnbA6zZvOlqv&__tn__=%2CO%2CP-R,52,0,positive,52
pfbid0T9v1vaPeikX1b7J76wHKzaQN5zcZbBVorWt1zhkNLEfyFQrXYZ663HoFdf2uPYWhl,Machine Learning and AI,24,77,0,0,0,0,0,0,77,3,Distribution....life beyond normal ,2021-06-21T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t1.6435-9/200718014_1996148283871515_6012561853758166470_n.jpg?stp=dst-jpg_p180x540&_nc_cat=111&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=30kr8j8Nv5QAX9CnbH6&_nc_ht=scontent.fcai19-7.fna&oh=00_AfBL0rz8TA184ihVciMn5Oc6IJHYEx2h76BYuOvXBjD6JA&oe=65061FFF,https://www.facebook.com/machinelearningandAI/posts/pfbid0T9v1vaPeikX1b7J76wHKzaQN5zcZbBVorWt1zhkNLEfyFQrXYZ663HoFdf2uPYWhl?__cft__[0]=AZW0HIR9K-wO981AhI69B2iI8ieujYpGm1eJ0j3evHGpMf52Yh8928Xn8ReagxBYB7p1HoNUtIyDetYZb4rLs1flLodvXGMQNMqNtTGg2qyohcNqxbgOZrxSgjZPjWjonjMl1qt-SNBkwEtsCN84WxKfiM5N0ZuoMoSxixRB_5SP03fjleOaJ-15hFsGeO2c5Wr8RArrhmpxXtn9XAbBxjhv&__tn__=%2CO%2CP-R,101,0,positive,101
pfbid037EuX1UsmafFEnGmH9nDUuYdujSnDTdSuqSHLvoM3nWpTvi5oPKYUXDNxQVh7WGAGl,Machine Learning and AI,26,124,10,0,0,0,0,0,134,1,Distance techniques,2021-06-17T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/202310546_1993221724164171_5119375688477027907_n.jpg?stp=dst-jpg_s640x640&_nc_cat=110&ccb=1-7&_nc_sid=8bfeb9&_nc_ohc=GutuY1hd18AAX-luR3y&_nc_ht=scontent.fcai19-7.fna&oh=00_AfB05comg3Mumn05aQNCuzwlJvr_ONtEBLIo9zlZHCBpDg&oe=64E327F3,https://www.facebook.com/machinelearningandAI/posts/pfbid037EuX1UsmafFEnGmH9nDUuYdujSnDTdSuqSHLvoM3nWpTvi5oPKYUXDNxQVh7WGAGl?__cft__[0]=AZXXC7tp8jBfPX_IXoHxH4xPa9By3hzFjfOIAZWoKomxUKWnKsjM3WiBSqwE5EH6WzYDAPf2EIPnTA0zirLm9uFVdz9CSmq6ApAIZELJYnTDZ06gYTrobPadeD8xlaVzNTzLAYSUVPEa0fRb3A51yw0rKpLdC0C7kgSjtBGjwKCkkWZMIaHyznIFPa3TOcTVb-Dzi9hsfvgnaiuZ39U4Z3hp&__tn__=%2CO%2CP-R,160,0,positive,160
pfbid02VKiwSpwrmV5wuj6QKsEzSEiv51yMnNTA4jiAyBmFs4Segw4V8Vgv9TEr6M67Dtxgl,Machine Learning and AI,5,26,0,0,0,0,0,16,42,2,"new kind of #confusionmatrix #developer #designer #projectmanager #QA #Ops , just for fun ",2020-12-29T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t1.6435-9/134214918_1860181670801511_4519294060413300009_n.jpg?stp=dst-jpg_s640x640&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=atgsfCmtOoIAX9dbYWD&_nc_ht=scontent.fcai19-7.fna&oh=00_AfDWXJh9qRXPwv7xMp1dgW6OObLVJyGhQXRJ2gs6Z5POzA&oe=65063C5C,https://www.facebook.com/machinelearningandAI/posts/pfbid02VKiwSpwrmV5wuj6QKsEzSEiv51yMnNTA4jiAyBmFs4Segw4V8Vgv9TEr6M67Dtxgl?__cft__[0]=AZW3T7hwowKHp6myre1JZxL_7ZXK3KIKUG0B1iAe8_9i-HUywCxCnqhxDVx5Du0XDVhi6CgCvjnjbQne7Js1hfZU44KOf5hRNB15aFBPSOxbC6e9iIen1N_xWPrai8MJdPN8NB4rHOwTJ3ZwKUzh8YibsG3A1JX5L0q4qPcENYWECs1cvi64ZMMnyYdRVk_lTZRoND2LgSYMbixJUqTNV8oK&__tn__=%2CO%2CP-R,47,0,positive,47
pfbid02DQ8j4s9qYhP4yT8chWxx4dqztuVyi961GoxLYsKSsdPrkae3ibSXHGS9u11ciAPYl,Machine Learning and AI,16,42,3,0,0,0,0,0,45,1,something we can relate,2020-12-21T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t1.6435-9/131673775_1853784644774547_3258418725512551733_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=qib5JTURJrUAX_jQdTO&_nc_ht=scontent.fcai19-7.fna&oh=00_AfA1XWcbqgAvCEzZppHCqOJ7b4vjkfaJAXM3AJgckVuRhQ&oe=6506291F,https://www.facebook.com/machinelearningandAI/posts/pfbid02DQ8j4s9qYhP4yT8chWxx4dqztuVyi961GoxLYsKSsdPrkae3ibSXHGS9u11ciAPYl?__cft__[0]=AZXHwiC2gLlG73Bhw_pwfwd6wWBMQqI9sINeIutKysbdoewWBkBWmRWoWp9R7HzfPO0BXIKBwAXH0zFyjkVrdM7h4kOuH0Iv0nhRjrk8rxJknhZNdCkiSrlnioDX-RE0uKiLi9tPXw2bdIRj5XTuyfxt03jwHeozpiPKZuDb4s-AQbq1aYiWQ9ZPc2t2oU5UA0id2p53d1WoLWc-3Wn5LOUy&__tn__=%2CO%2CP-R,61,0,positive,61
