id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,Summary,posted_on,Video_URL,Image_URL,URL,Positive_Reactions,Negative_Reactions,Sentiment Analysis,Rating
pfbid024pu9itCrqsbqdjgV1o88rMraJs3jDqmF2DU6vFo9JqdiYtQSXY5MMAwhJX2sExeSl,Meta AI,104,336,43,0,0,0,0,0,379,21,"AudioCraft by Meta AI is a one-stop code base for generative audio consisting of three models: MusicGen, AudioGen & EnCodec — supporting generation of high-quality music and sound effects from text + compression.This work is an important step forward in generative AI research. We believe the simple approach we developed for audio generation will have a meaningful impact on future technologies and how we interact with them.",2023-08-12T19:24:06.684217,[],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/3332230190147286950?url=https%3A%2F%2Fopengraph.githubassets.com%2F5e1ee33d66882b8c8199c63d11064af4f69fe4a7a39045d00afcfae404d956a6%2Ffacebookresearch%2Faudiocraft&fb_obo=1&utld=githubassets.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbH5cKY6cEStU9ZQ-jTgYcQKQhZWJB4vxosb2nWKE2E71Q&oe=64E019C4&_nc_sid=ca20c4,https://www.facebook.com/MetaAI/posts/pfbid024pu9itCrqsbqdjgV1o88rMraJs3jDqmF2DU6vFo9JqdiYtQSXY5MMAwhJX2sExeSl?__cft__[0]=AZX2ntGNgDTFoZGSoKb_GeCQgS3eVh1-cQNeK_o5iU9vjBY65XmWGkw9vkJZ1aeK0ymQIN82yOh3qJaq-GGuwtyBKuAmWK3m2Q5FH242RZ4JutoW-uYrZjXaS5UV_vfFLqw3N_F9qOsr839-INiY9PJTHzfCIOfUNtwgRJrGxjzLvH8_Z05zMXJs5C4UCmoPiEfMVaBkf8ACPl2qMxBGiPi4&__tn__=%2CO%2CP-R,483,0,positive,483
pfbid0256Qc5fNrfsBo9rSbuGd5Cc1ZyUvmKqCAhXcuEiWbG7n46f8qP9XSdoAa8LqSPL5Yl,Meta AI,49,185,24,0,0,0,0,0,209,9,"Today we're sharing PUG — new research from Meta AI exploring how to create photorealistic, semantically controllable datasets using Unreal Engine for robust model evaluation.More details  https://bit.ly/3YAaucjRecently, we’ve seen major advances in the capabilities of computer vision models, however many existing benchmarks don’t offer enough information about how well these models understand their environment. Our datasets highlight that many recent models are still struggling with basic object classification tasks, tasks that would be simple for humans. With the PUG datasets, we are now able to correctly assess and find ways to improve the robustness of these models.",2023-08-09T19:42:00,['blob:https://www.facebook.com/bedd2139-707b-44af-ba9d-ab1644d412c5'],https://scontent.fcai19-7.fna.fbcdn.net/v/t15.5256-10/363864177_9906748569395513_2240510919807122836_n.jpg?stp=dst-jpg_p180x540&_nc_cat=106&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=Q63vkaPlqFsAX8DtnkP&_nc_oc=AQk0BQZp9ViPMo2wM3numGUjhETTECeiVjLvlX80YVM5w_iqojG9E1DPoIEkbWk0QgE&_nc_ht=scontent.fcai19-7.fna&oh=00_AfA9wFLmUd7yZP7e7zvyas9ipluYb-IlHreyvUXDwlZKXQ&oe=64E3BE09,https://www.facebook.com/MetaAI/posts/pfbid0256Qc5fNrfsBo9rSbuGd5Cc1ZyUvmKqCAhXcuEiWbG7n46f8qP9XSdoAa8LqSPL5Yl?__cft__[0]=AZXiLAYhKBLhb1_fIMrVxEST4SeGiQ12YALJPw2iPmeRQGmN5jk2ycEv6CfiZxj4IeE8ybAnwlb_GPXl-hqD1NFEbDh1uOXKD78NilmaH75aOW5cxf5pxXwhljPh5xn7uoV8aFwqId4mmzRtjzQRhwYnytg6bPDEpAtH4KI8i_KRtbaeMRjo7ftQp9H0af8jZeSWlFB6O-MamdzB7aRYisFR&__tn__=%2CO%2CP-R,258,0,positive,258
pfbid02qgq93SmMFNjrKHXB7PR64PSfjy2PFc8vaWQnMm7joBhAVAExJH6Y5pxTTP3r6gd8l,Meta AI,31,95,14,0,0,0,0,0,109,15,"Last week, we released the Open Catalyst demo to the public — this new service allows researchers to accelerate work in material sciences by enabling them to simulate the reactivity of catalyst materials ~1000x faster than existing computational methods and catalyst surface-adsorbate combinations at a scale impossible to explore without machine learning.More details and access to the demo  https://bit.ly/47wJq1VLow cost catalyst materials are an important means towards a renewable energy future. With this work we hope to help scientists increase the pace of discovery for low-cost catalyst materials.",2023-08-04T21:29:00,['blob:https://www.facebook.com/7e97133b-fade-437d-bbf0-09dfed1603ec'],https://scontent.fcai19-7.fna.fbcdn.net/v/t15.5256-10/363515072_978586986685729_5382073065542872882_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=f4XUWwyxaZ0AX9EcPQj&_nc_ht=scontent.fcai19-7.fna&oh=00_AfDTKnUZfceizeQnrcPwSXqcXKPB-6nRBmYjR9_W1ONF8w&oe=64E3DE62,https://www.facebook.com/MetaAI/posts/pfbid02qgq93SmMFNjrKHXB7PR64PSfjy2PFc8vaWQnMm7joBhAVAExJH6Y5pxTTP3r6gd8l?__cft__[0]=AZVvB3d_a9mFFWpxh_OFSrIM6tCvdqzKv8cmCvOgyalc6bPqEgqdA4eOdZ39wAHMS83ZbTsrsIMKQGX-cDxG6-8987ZNBifDuVCvMUVeLqP1S5hdEBkj7q5GQE0RQbXqDeZX28EIiP3epRY88FnmUiKBCkvW-1SKdfdWmBx3IFDe8ZtXmvC8m3JigtvGhouW8ZvPIonRHF9IhBisdKr2lpbe&__tn__=%2CO%2CP-R,140,0,positive,140
pfbid02D5TZAyTGxPBQTGSTRGydmchFBpnSKYiKiRkTnsEwtZGcGJijMKgxnV1gqRsKjNKil,Meta AI,80,176,15,0,0,0,0,0,191,23,"Innovating in the open with Llama 2 makes it more important than ever to focus on responsibility and we’re continuing to invest in an array of responsible AI efforts, including the creation of a new Responsible Use Guide. Download the full guide  https://bit.ly/44SpSTPThese best practices should be considered holistically because strategies adopted at one level can impact the entire system. The recommendations included in this guide reflect current research on responsible generative AI. We expect these to evolve as the field advances and access to foundation models grows, inviting further innovation on AI safety.",2023-08-03T20:38:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/363032990_595045409461558_4751982723350935891_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=G7kLmvKjgnAAX-BMIBo&_nc_ht=scontent.fcai19-7.fna&oh=00_AfA4D2040xIpvlT7N_bp-ZnqaN8dscgiplJk2_DONtdJbw&oe=64E2A380 https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/362639634_595045362794896_415558604068685501_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=730e14&_nc_ohc=k0V9-HgoPicAX9QLTIY&_nc_ht=scontent.fcai19-7.fna&oh=00_AfAL5v5dqhvJMASyPrp0KsH1VAg_J6VcCyBZXfZLV1f2rg&oe=64E27A55,https://www.facebook.com/MetaAI/posts/pfbid02D5TZAyTGxPBQTGSTRGydmchFBpnSKYiKiRkTnsEwtZGcGJijMKgxnV1gqRsKjNKil?__cft__[0]=AZX8peSphtIT1h-Vr0PVGVVCvKbjWn_JbsGpb01ZxWzWKsgAVQF8OojConHEQ37ZbtQQM3QURGE2ev0l1x8LEQ-ebEg3TwlaV2GXsbo72IwU29aUWeD1HCiXTUKCugs6DPUjbY1gZA4eWYJmN87c_SkGp4El9rNeDlJqE7TiHr-N-ZanpENbVPeN-pNE_XR33xuBpU34g206fpgxzbqd9W4U&__tn__=%2CO%2CP-R,271,0,positive,271
pfbid0QjoEMKRhnEo2ADSL9fP4QtFHuUHWMPfMHiRZAcXRGc34oTGfHGWnGWAedTmzxA7ol,Meta AI,108,250,45,0,0,0,0,0,295,28,"Today we're sharing details on AudioCraft, a new family of generative AI models built for generating high-quality, realistic audio & music from text.More details  https://bit.ly/3KlK2x2Access the code  https://bit.ly/3rOfMo9AudioCraft is a single code base that works for music, sound, compression & generation — all in the same place. It consists of three models: MusicGen, AudioGen and EnCodec.The models are available for research purposes so that researchers and practitioners can train their own models with their own datasets for the first time. We can't wait to see what people create with AudioCraft.",2023-08-02T19:51:00,['blob:https://www.facebook.com/c15c91a0-5b23-42c5-b3c2-8aea7d484d6b'],https://scontent.fcai19-7.fna.fbcdn.net/v/t15.5256-10/364547775_971283680810426_3657073066445400103_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=fssnPkmA73oAX_jCGgd&_nc_ht=scontent.fcai19-7.fna&oh=00_AfBPnbM2C-S6mAvGZ4UHXAim5a7ZIALLrsdKKCy2CDl8pw&oe=64E23F31,https://www.facebook.com/MetaAI/posts/pfbid0QjoEMKRhnEo2ADSL9fP4QtFHuUHWMPfMHiRZAcXRGc34oTGfHGWnGWAedTmzxA7ol?__cft__[0]=AZUcLsjnQfueMOeGIJCk5zr4JS6bIziOwLlR_hcJDiB7KRcNthtleLAw5P32e1lgK1MIk5x9Sbr3cLF7-i3es6UPfob8qcOMQvSN4mByadkI3zJpDZIMAn0eAZlzjxBW2Zl3xQXDAEVlIk-8aCZwiKGPJzfM_24TpxlARjG6m17jLb31R8iJGKJAFEww9lWF15eK7TPtP5XHfKON_8amL42t&__tn__=%2CO%2CP-R,403,0,positive,403
pfbid0V2Ms3pqrb7Dnjd6jhqwi8ENDWwhJQJnrGnSJnSo2FYAQuLxfdcp5v9cudRoWPLPAl,Meta AI,33,195,28,0,0,0,0,0,223,10,ICYMI — CM3leon is a new model that achieves state-of-the-art performance while being trained with five times less compute than previous transformer-based methods.We believe CM3leon represents a major step toward higher-fidelity image generation and understanding. We're continuing to explore the boundaries of multimodal language models and look forward to sharing more of our progress.More details on this work ,2023-08-01T20:25:00,[],https://scontent.xx.fbcdn.net/v/t39.2365-6/355350269_735396441693973_7081320402844920765_n.png?_nc_cat=111&ccb=1-7&_nc_sid=ad8a9d&_nc_ohc=rgCba7ScbhMAX-PFhWK&_nc_ht=scontent.xx&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ur=139b9a&oh=00_AfBQwwpfJQpc05zvf60P22Fjb96Ekb0YlDAjOvBllE7i5g&oe=64E23FEF,https://www.facebook.com/MetaAI/posts/pfbid0V2Ms3pqrb7Dnjd6jhqwi8ENDWwhJQJnrGnSJnSo2FYAQuLxfdcp5v9cudRoWPLPAl?__cft__[0]=AZU7HZWFdZ0t9xcubhlol9Q6C5KX-y0fGmTddmfuMWbL_-4lR34kY-7o8lOx10CW0XkVoZktU16Fg2J84MwBMbvPMulmai9Q509r3dlnnRq6_yu5MGg3J10Xqdrl520av0r4f7CNouo-Crm8d5GfS9N3WOmL9jK-MBjYkuQFlJmFeFQnWSJ0oH6wVBMzuhmwwmMl8nDvaN1rIjkRKSHjGI79&__tn__=%2CO%2CP-R,256,0,positive,256
pfbid021Q2bdpqGHAFGCHGMeVZWDg8cZXpmrKVC8WFo2qQ745JKG9xSREd6uJxLUopPu7Zol,Meta AI,14,157,19,0,0,0,0,0,176,14,"Less than two weeks ago we took an important step toward advancing access and opportunity in the creation of AI-powered products and experiences with the launch of Llama 2. We’re thankful for the incredible response, early use cases and development that are already emerging in the community.With 150,000+ download requests in just the first week following the release, we can't wait to see what you're able to build with these new models.More in this note from Ahmad Al Dahle — VP, GenAI at Meta  https://bit.ly/3O7XdCQ",2023-07-31T20:34:00,[],,https://www.facebook.com/MetaAI/posts/pfbid021Q2bdpqGHAFGCHGMeVZWDg8cZXpmrKVC8WFo2qQ745JKG9xSREd6uJxLUopPu7Zol?__cft__[0]=AZUn25hU7dbEZLsAd02e4k45wfS813NnIiiLF9MENPj9gwe3_Cyi7VfmeEUFxA56qD25_moUMcObDO2JT3mtBt2is3FQ7z0x7jWjkNFdyOSJH3NARILmkDq2pyJ_ZpdcPN8F7g8udS4z9TrJq7CWOP49hABQk1bsAD1kWwikEpLCXqO63Kuw-dx1F0d0dA-C-M0ilu939n-Va6bSfG9Lb34f&__tn__=%2CO%2CP-R,190,0,positive,190
pfbid0b1RtAfkX7GbSFWUoBTYAbwfcrxDyrJ8net87Z63pLy2cVfcJbmgYBq9F88ZJPqsfl,Meta AI,191,571,80,0,0,0,0,0,651,60,"In the interest of open innovation — and to enable the community to build on our work & contribute to the responsible development of LLMs — we've published a paper with further details about the architecture, training compute, approach to fine-tuning and more for Llama 2.Access the full Llama 2 paper  https://bit.ly/43Maib1",2023-07-28T18:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/363758457_590752603224172_8346947135071089367_n.jpg?stp=dst-jpg_p526x296&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=zIez6vENDgYAX9GsNHA&_nc_ht=scontent.fcai19-7.fna&oh=00_AfD3m8KcfDyT-w594yCn4jNat5waN5t2YelZa2utiny4Dw&oe=64E28795,https://www.facebook.com/MetaAI/posts/pfbid0b1RtAfkX7GbSFWUoBTYAbwfcrxDyrJ8net87Z63pLy2cVfcJbmgYBq9F88ZJPqsfl?__cft__[0]=AZVBxqaJZnRTkA-bS2YGFkDp4JVFJ2fOS0PoTa6OWSig_wJmtkmLnJe-bOpzdDkU8REAtiQ7BU9TSKBCJto5svtbB3PsSF6tEkx9FjjadKsfjwEbjYw1IR9WnGgtZB92PQjboy-QgP9DkL0VxrIcdVMotGVTCLSxcEVtBJJYObriTgC3SgUvsozgC_vqG-RfOm4upV4kZhOKKyqK3DWcKrDR&__tn__=%2CO%2CP-R,842,0,positive,842
pfbid02GoNEyeZiLzTst2byf4tVd8fSV2tNqoxWp48SJkpt53t9nYvcdG52uJF3tLPtmKRil,Meta AI,32,233,32,0,0,0,0,0,265,30," Interesting new papers we’re sharing at ICML this week. 1. ELSA: Efficient Label Shift Adaptation through the Lens of Semiparametric Models  https://bit.ly/3Kd9xkp2. Reward-Mixing MDPs with Few Latent Contexts are Learnable  https://bit.ly/3O6LULh 3. Masked Trajectory Models for Prediction, Representation, and Control  https://bit.ly/3O4yNdv4. Hyperbolic Image-Text Representations ​ https://bit.ly/3q2xSlX 5. Hiera: A Hierarchical Vision Transformer without the Bells-and-Whistles  https://bit.ly/3K7YPv9More papers, plus featured workshops   https://bit.ly/3rMVIm1",2023-07-25T19:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/363419615_589088030057296_7457215305428699363_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_ohc=3Bw0aciXYe8AX9S4u3F&_nc_ht=scontent.fcai19-7.fna&oh=00_AfC_BRhmJB5BuPpGgn_inCoe4nXGo8RivLxssoXpYJrPxA&oe=64E255E0,https://www.facebook.com/MetaAI/posts/pfbid02GoNEyeZiLzTst2byf4tVd8fSV2tNqoxWp48SJkpt53t9nYvcdG52uJF3tLPtmKRil?__cft__[0]=AZXx7qyNz0NnCAru1fkdlXVTM59vMSUC_WkWaqRDcSbbVv0IEVoDQIoGPqoHjmP15ZZx3-sfA9l1WyO_iTfrIh8Mcpwk-eQxYZhkGAV07TUG6ZHiazKtgD0Xh7WL3BBynfOD_5pDr0Hohz8fMQojaGZN68FJDvn7NRr3OnvWQRJTMpplxX0oxE5gYV2c1n81n_ofhwZNOUzzJJVW9T9k7Cf1&__tn__=%2CO%2CP-R,297,0,positive,297
pfbid02niVpQsS67rcTbbELfKkYYsvFSPUjx1TyFhprEQGCWUcrtwSJaeor9BoZARgQozssl,Meta AI,32,213,41,0,0,0,0,0,254,19,"We have a broad range of supporters around the world who believe in our open approach to today’s AI — companies that have given early feedback and are excited to build with Llama 2, cloud providers that will include the model as part of their offering to customers, researchers committed to doing research with the model, and people across tech, academia, and policy who see the benefits of Llama and an open platform as we do.See the full Statement of Support + list of supporters  https://bit.ly/43yKFu0",2023-07-20T20:35:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t39.30808-6/361187765_586448496987916_5989520375075538568_n.jpg?stp=dst-jpg_p180x540&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=s4tUU_-jMbkAX8iqtiR&_nc_ht=scontent.fcai19-7.fna&oh=00_AfDV3C1ecdz9Btii1G4SvXl2NaKOtX_Q6HweNY069I4a7g&oe=64E2E055 https://static.xx.fbcdn.net/rsrc.php/v3/y9/r/Z-dbClQDXLv.png,https://www.facebook.com/MetaAI/posts/pfbid02niVpQsS67rcTbbELfKkYYsvFSPUjx1TyFhprEQGCWUcrtwSJaeor9BoZARgQozssl?__cft__[0]=AZUIH8kt0FQ_xGftWPMm04WbwMxV_TuPBop88CVBbcFwCHoIdk0LwcG7d5ktSSXg2EhIeqeS8H6ii1WlQJtjzGMFJJ8pQpXpcVyL5v8z5dGvatzU6WEbQw9aL3ZUdOT24iBCLcf-OOtNrETQ6T70TqQ-3M9tmWU5eROeidW5JMIdSA8FDATUJPJDSUCeoeycECT3cCUu1QriFlErp2n64xVU&__tn__=%2CO%2CP-R,286,0,positive,286
