id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,Summary,posted_on,Video_URL,Image_URL,URL,Positive_Reactions,Negative_Reactions,Sentiment Analysis,Rating
pfbid0wyNiKAyDaHYJqCGQMCTW5xABvUHu46jd4aSMgD3TPGahLk7ujmb9t3Mi9fXhrC9Vl,OpenAI,284,1300,136,109,0,0,0,0,1545,733,"We're releasing an API for accessing new AI models developed by OpenAI. You can ""program"" the API in natural language with just a few examples of your task. See how companies are using the API today, or join our waitlist: https://beta.openai.com",2020-06-11T00:00:00,['blob:https://www.facebook.com/c170d012-b239-45aa-9943-d87262575034'],https://scontent.fcai19-7.fna.fbcdn.net/v/t15.13418-10/103479749_631282460792212_6062680365921539734_n.jpg?stp=dst-jpg_p180x540&_nc_cat=110&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=kPjD5Jy4JdgAX9Yg5bO&_nc_ht=scontent.fcai19-7.fna&oh=00_AfA4v2AuR2pKSrR-iAf94DihRTAmGyOZnkiHysy0HAvOgA&oe=64E18B04,https://www.facebook.com/openai/posts/pfbid0wyNiKAyDaHYJqCGQMCTW5xABvUHu46jd4aSMgD3TPGahLk7ujmb9t3Mi9fXhrC9Vl?__cft__[0]=AZWSsvRXVjkonxu6jpY5OIMHPk8qHmkm49FjE1CGyYM_C2vJC11bjblk3YyqBhoIPsforMrV1iTE2MHNrSxexhLe_eQaXbAOceM73AkYVSlYV9-hojhdzuRFcHGiO9ZXC5sECi5y7wGjboUrG5eNfnFWShTP9_CqJijXtadPmmxoalpwShPS2fJoahEeyZ7873QkN_-zocnkT4blWrwiUZyGIlcYE9rYp3H3Bc2niJFwHA&__tn__=%2CO%2CP-R,1829,0,positive,1829
pfbid0GZpryjspf2Eoj5Bpa8sXd4ieZtkB4F94ok23H9KJH5Es1zYVjTp6UmzEa5H1aCGGl,OpenAI,33,510,37,0,0,0,0,0,547,104,"Since 2012, the amount of compute for training to AlexNet-level performance on ImageNet has been decreasing exponentially — halving every 16 months, in total a 44x improvement. By contrast, Moore's Law would only have yielded an 11x cost improvement: https://openai.com/blog/ai-and-efficiency/",2020-05-05T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t1.6435-9/95582019_1399137263608215_6705405446204686336_n.png?stp=dst-png_s960x960&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=T6CcLRuGX6MAX9PP9oV&_nc_ht=scontent.fcai19-7.fna&oh=00_AfBEr71MbSpwwDjTzJ1Ej_m9-Adyn-DK7X9K2gbosBEb2A&oe=6504C4A3,https://www.facebook.com/openai/posts/pfbid0GZpryjspf2Eoj5Bpa8sXd4ieZtkB4F94ok23H9KJH5Es1zYVjTp6UmzEa5H1aCGGl?__cft__[0]=AZXv8UTFSPHL9ffYYQPCmmT-O3k14hB2BtPuEdALqoYZwchcir7oBbiZ4VnwJjZIo6VqK6MmIivZ2tuHliyNtFIYmjsWAyi0MT6u-L-HPkwOiGySPE4PUd2pVjR4ifMhiZhiNyW4ECaZ3kwU1bGaOoyn32BTSW-MdrDUNjYbRlVNXk1IiZ89vCmqpAq9-ZpUdapIfUwwoEy0fedssTsYijHj&__tn__=%2CO%2CP-R,580,0,positive,580
pfbid033pMwdo8Pxp5E5N3GdKfFdosTt4exRnSAMPp7UfjQosTuB4uZLTtKbNP3zJkZLuTdl,OpenAI,114,485,55,39,0,0,0,0,579,55,"Introducing Jukebox, a neural net that generates music, including rudimentary singing, as raw audio in a variety of genres and artist styles. We're releasing a tool for everyone to explore the generated samples, as well as the model and code: https://openai.com/blog/jukebox/",2020-04-30T00:00:00,['blob:https://www.facebook.com/19318294-e052-46f0-992b-0a877967f978'],https://scontent.fcai19-7.fna.fbcdn.net/v/t15.13418-10/94976179_802439936951914_8132937521811161088_n.jpg?stp=dst-jpg_p640x640&_nc_cat=102&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=33Bg0zDjmsUAX_QOYKC&_nc_ht=scontent.fcai19-7.fna&oh=00_AfA2OqS8r1gN72Csz_YdQnE2UJbZ9HFXhS0wv4iWUUSVQw&oe=64E24189,https://www.facebook.com/openai/posts/pfbid033pMwdo8Pxp5E5N3GdKfFdosTt4exRnSAMPp7UfjQosTuB4uZLTtKbNP3zJkZLuTdl?__cft__[0]=AZXA8oizn3il5GqcKkuwy1RblO0uewZ72BASTWANzbZa55LwNI7aclWv9oHG7KvxzivmOMryhNheJ8kvdJ7NKi8wsWDN_djo31lPvZ0wO78Qj_l_EIo1if5qJK8bNeg3sGjtN9ghacpOIDe_Ckr9HCprkV9vigi0JCv68neW8MhiFgmsqJ_nnZZ_xH-x2cx9fuqVqf9gZHs2CBHmBXjZdWbMTsXhI3POXtTxcrurB5RIZw&__tn__=%2CO%2CP-R,693,0,positive,693
pfbid02NfLZeZ48Mp9Htu2zLSf715ogRjSc9xAh1Edipa3P7bdfCVZaaqcMyJjXHAJ6u494l,OpenAI,116,635,60,0,0,0,0,0,695,50,We're standardizing OpenAI's deep learning framework on PyTorch to increase our research productivity at scale on GPUs (and have just released a PyTorch version of Spinning Up in Deep RL): https://twitter.com/OpenAI/status/1222927584033247232,2020-01-30T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t1.6435-9/83896874_1320269424828333_6405901231872540672_n.png?stp=dst-png_s960x960&_nc_cat=108&ccb=1-7&_nc_sid=730e14&_nc_ohc=BZ4676CQm60AX_GRHXE&_nc_ht=scontent.fcai19-7.fna&oh=00_AfCHlmcG__Irhtp8Fm-g0KEvpHwvDP-xrHbRItVwBBz7Sw&oe=6504ECC9,https://www.facebook.com/openai/posts/pfbid02NfLZeZ48Mp9Htu2zLSf715ogRjSc9xAh1Edipa3P7bdfCVZaaqcMyJjXHAJ6u494l?__cft__[0]=AZWhwSjQ9ULOHM5yeH75B-SFEcAIaw9iT0Ctbb8he9DWJ0ZRoWmKat6UbeQ1fnz9NZhtlUJFRt75IF-fNBfZDAg7D62W01XKSZlTX_RzRMFUrJi4T5ePl8rlMFM7OOPeyjxt8HqYgjxxqmdCQPYJsfAEk10MQHaos_6Hc4fcFdJ0ZeUPa_IVMG9T1JBc7g3NbiMcVhDkmDlD4Y1STEKCVTm2&__tn__=%2CO%2CP-R,811,0,positive,811
pfbid0NnmKiKds5X5PH3WoG4AJEt7MgMJ2LeJ3HFVnFqm224ttfZCcUCFdMocTz2mrLTLyl,OpenAI,44,416,41,0,0,0,0,0,457,30,"We're releasing ""Dota 2 with Large Scale Deep Reinforcement Learning"", a scientific paper analyzing our findings from our 3-year Dota project: https://openai.com/projects/five/One highlight — we trained a new agent, Rerun, which has a 98% win rate vs the version that beat @OGEsports.",2019-12-13T00:00:00,[],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/10332535334742334873?url=https%3A%2F%2Fopenai.com%2Fcontent%2Fimages%2F2019%2F12%2FOPEN_AI_DOTA_FINALS_3_DSC1231.JPG&fb_obo=1&utld=openai.com&stp=c0.95.2000.1044a_dst-jpg_flffffff_q75_s500x261&ccb=13-1&oh=06_AbGWdmxc1cQEMgj8anWhzBSDfGVwWLALAPp7NruWeL6LSg&oe=64DECBFA&_nc_sid=ff403b,https://www.facebook.com/openai/posts/pfbid0NnmKiKds5X5PH3WoG4AJEt7MgMJ2LeJ3HFVnFqm224ttfZCcUCFdMocTz2mrLTLyl?__cft__[0]=AZUT5LThj4xX81WV7-Wy6Swsi5Ozy90FdgxRKax_BBP9BArzW6yx04LOImPxJWbBxfR_kO6Wta6Dr5RvhMKCL-2ZHO1ftLqY0DFzVU5U-s3631QAhazw4rKTPvX0PF_O8MEgWZntuKIPvdIjgQjlbv3hWQxNpW4nMB2hJyKOtKmp6POjFn2_qKMM1iHiZX8SkEnlTdiiMoUUC9gLVl2ytKgV&__tn__=%2CO%2CP-R,501,0,positive,501
pfbid0heWDwGwrYD1c6emE1z3kPjZyoAvd1CLavPQVdq3ia21N4URJ4Ex5J5fDYSwA3mqsl,OpenAI,43,306,0,24,0,0,0,0,330,16,"A surprising deep learning mystery:Contrary to conventional wisdom, performance of unregularized CNNs, ResNets, and transformers is non-monotonic: improves, then gets worse, then improves again with increasing model size, data size, or training time.https://openai.com/blog/deep-double-descent/",2019-12-05T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t1.6435-9/79932933_1270728539782422_5130827674796687360_n.png?stp=dst-png_s1080x2048&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=BT9xUP0tF-kAX8103BE&_nc_ht=scontent.fcai19-7.fna&oh=00_AfBaswfqTJStIgwUT1-pDyL1cU3gGUXixwFdksruNNMgHw&oe=6504F6A0,https://www.facebook.com/openai/posts/pfbid0heWDwGwrYD1c6emE1z3kPjZyoAvd1CLavPQVdq3ia21N4URJ4Ex5J5fDYSwA3mqsl?__cft__[0]=AZVNpZ-BUh5rdjI4zBgCSGvl6HQHVl5DPftcCEUbi9ZrU5LPsWWzc6fre4yY3X1sN4zft8zrs63yCsydch4oIufXTxS1Kzh4H5bRngMZdf2toSjAt9mwG2XDwkDVK7blJ06Eb3idKo343uNnBgQzmfMpx2mll2WuDaPAKX5DolWBx-z4b91P5544VkEZbl8TViVI07fMECmEcTQlkHfUbfru&__tn__=%2CO%2CP-R,373,0,positive,373
pfbid0H1VNW8bkz4EquMXwRvoheTJEB7xCdPtwKF1pVuRLFp6nWjFAYEinonbVrpbTmqsWl,OpenAI,40,215,19,0,0,0,0,0,234,9,"We're releasing Procgen Benchmark, 16 procedurally-generated environments for measuring how quickly a reinforcement learning agent learns generalizable skills.This has become the standard research platform used by the OpenAI RL team: https://openai.com/blog/procgen-benchmark/",2019-12-03T00:00:00,['blob:https://www.facebook.com/7e8cf079-ff3c-4241-b978-40b60731f30e'],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/143141077403433689?url=https%3A%2F%2Fopenai.com%2Fcontent%2Fimages%2F2019%2F12%2Fog-image.jpg&fb_obo=1&utld=openai.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbGwHxGU6Qjc2h0nXcN-E3sJ7M1lIXnhuaNP0Kv_R2G1ug&oe=64DF5514&_nc_sid=dbad39 https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/8iuTX4LlGZO.png,https://www.facebook.com/openai/posts/pfbid0H1VNW8bkz4EquMXwRvoheTJEB7xCdPtwKF1pVuRLFp6nWjFAYEinonbVrpbTmqsWl?__cft__[0]=AZU19V0pXLXUAk4FulcpP2VDishP4f0db1ZkSMJJJEVrsm4GiLvIb68po4QTSPU20_hQ9DM2J5n-h0wxW_n3lWgypuf8NCjWm_0Vw2L0DM0X4aqUC0Awc0nMuRcpDnjqr47KqrRaAN18ZSFKiI--YDf1hpTNGQU-6pV7inV-FiMqv0STvflsBna7Vywt1jyfgEqpGQFTSW1ahftilF-Nk7Qr&__tn__=%2CO%2CP-R,274,0,positive,274
pfbid02fXeBNpL8rVqLEecszKyAR7fQHuT65RpAv1cLEiiPXgL2E5kbCeSp2R9dYxE9x19al,OpenAI,36,191,24,0,0,0,0,0,215,8,"We're releasing Safety Gym, environments and tools to evaluate reinforcement learning with safety constraints: https://openai.com/blog/safety-gym/Aims to ultimately help agents satisfy real-world safety requirements while training (eg not driving off a cliff, not writing abusive content).",2019-11-21T00:00:00,[],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/11810377064647312513?url=https%3A%2F%2Fopenai.com%2Fcontent%2Fimages%2F2019%2F11%2Fsafety-gym-cover-2.png&fb_obo=1&utld=openai.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbH5YIb64FCuwB1o8MUmdfrNiqjMzPJ-eU-a6b_iyGWqWg&oe=64DF0F77&_nc_sid=dbad39,https://www.facebook.com/openai/posts/pfbid02fXeBNpL8rVqLEecszKyAR7fQHuT65RpAv1cLEiiPXgL2E5kbCeSp2R9dYxE9x19al?__cft__[0]=AZW4LBbTAc9s7OTiwgsYEngQHRbtJRvh1uSMhJ8JzgDgHBhUXN9e1MczUxlGiSnsk0a0jhIeDDjQhXCTWCkhoxFRF2baCAj4E6v_iaOBoVmjIeI6PkdvBjUSEeuMgZqcEuKgMzVr7BmhjPPJQOFpgCgOHWnsWbckeaE307YOMZ9GCN9vIPScY7VSu3UWmRMoAUPGuXRCGREjEVOQUlw_mVv1&__tn__=%2CO%2CP-R,251,0,positive,251
pfbid02QERFULs4n5rCSWgMsLhU4dCZhpZCNpwG3UZBqxAhsQQ231AHC1LwXZuCQZyPspX1l,OpenAI,57,252,30,22,0,0,0,0,304,43,We're releasing the 1.5billion parameter GPT-2 model as part of our staged release publication strategy.- GPT-2 output detection model: https://github.com/.../gpt-2-output.../tree/master/detector- Research from partners on potential malicious uses: https://d4mucfpksywv.cloudfront.net/papers/GPT_2_Report.pdf- More details: https://openai.com/blog/gpt-2-1-5b-release/,2019-11-05T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t1.6435-9/75543459_1244743475714262_1371225926234275840_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_ohc=jyvMs7WmlCoAX_7ZNM3&_nc_ht=scontent.fcai19-7.fna&oh=00_AfDX2SONpVeGrHjTt86c6dQSoJ38MgOeilCTMfpkIzzVDQ&oe=6504D32E,https://www.facebook.com/openai/posts/pfbid02QERFULs4n5rCSWgMsLhU4dCZhpZCNpwG3UZBqxAhsQQ231AHC1LwXZuCQZyPspX1l?__cft__[0]=AZVKwef58onP-ryB0tSv4_zWFp-N-6RHx6yghLJz8LPNfsOjWz9XdoU2AwzAgduUjVHf88XgcQvfwCq0U9Tp0XSXLE3XXnIhghz6X_carB7TZJotOWRuzthKIp96FJQ6aUzTDfI33VAp9lbY6zM6D3j24F80RrKnIhA1r1RcK9TuO6iCnMAcf4--4S7bOOdmqrtT9NgIOY38J2NyBj8ULqaH&__tn__=%2CO%2CP-R,361,0,positive,361
pfbid0vdj795MTWCXQP3x4WXnpA9HN4Pwj8QNLSJueZeCuXWe2bUX3H1nScBFvJf2z7m54l,OpenAI,31,409,56,0,0,0,0,0,465,49,"""Solving the Rubik's Cube with a Robot Hand"" took many human hands over the past 2.5 years — meet our Robotics team! (PS they're hiring: https://openai.com/jobs/!)",2019-10-16T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t1.6435-9/72568141_1227404510781492_891891542887759872_n.jpg?stp=dst-jpg_p180x540&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=uGO1MofKJcUAX9rJlEr&_nc_ht=scontent.fcai19-7.fna&oh=00_AfB6Rexh8t0Fey7w22fVs4texKPZjEiXFEAtdjf6z6bqcg&oe=6504DC57,https://www.facebook.com/openai/posts/pfbid0vdj795MTWCXQP3x4WXnpA9HN4Pwj8QNLSJueZeCuXWe2bUX3H1nScBFvJf2z7m54l?__cft__[0]=AZVGgB1tw92FCZ2XHah6Ae6c3Nw8GR4Petr0bBhWHvN379LuPAL84ZFynKClRs9oRvi7gCrgjsKZnGVRZ_EliVlCeIU_lHI6ntoori28DV13IvYOTTvcUcJ7zUAgWI2c99WMudUZnLGxjvkvq4Ad15BJJEbcDeq5IzuzUbQBnKU764K5ZqRfwdpvCWJfvVeq3j-87V0jUEGGVbZnnmmuhcZi&__tn__=%2CO%2CP-R,496,0,positive,496
