id,name,shares,likes,loves,wow,cares,sad,angry,haha,reactions_count,comments,Summary,posted_on,video_url,image_url,url,positive_reactions,negative_reactions,Sentiment Analysis
pfbid0xQhhZ1ziVDRPHkwsjiAL2y85wyhngKAoTHZk1ZdALba1yg2s5dcRSkekhaCMuW86l,OpenAI,284,1300,133,109,0,0,0,0,1542,677,"We're releasing an API for accessing new AI models developed by OpenAI. You can ""program"" the API in natural language with just a few examples of your task. See how companies are using the API today, or join our waitlist: https://beta.openai.com",2020-06-11T00:00:00,['blob:https://www.facebook.com/ff5bbd02-01b8-4487-9950-d90fe796d2e2'],https://scontent.fcai19-7.fna.fbcdn.net/v/t15.13418-10/103479749_631282460792212_6062680365921539734_n.jpg?stp=dst-jpg_p180x540&_nc_cat=110&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=JQt7smEbqr8AX_KclUO&_nc_ht=scontent.fcai19-7.fna&oh=00_AfB2FPjUVnLwOlHr0wcc6XLHDllfNSTLtmZpJB5Yh3QY3A&oe=64CDC484,https://www.facebook.com/openai.research/posts/pfbid0xQhhZ1ziVDRPHkwsjiAL2y85wyhngKAoTHZk1ZdALba1yg2s5dcRSkekhaCMuW86l?__cft__[0]=AZUGFlaeG3CUflMgDGoZXOkHzR8riGLLNrFZCJyX-43lyKLIiPj41movRrWyIGQvXnEugQa9ncDlh1ZP_P4FIgVOWwLHEOVdZ1D7F8imr5Z_74Pd0EAaw9nk36ROdIpopJB8eHIwVAPmbypPIpFmGNw5Ph9sqX5_Sfj12Pu1S3H7OZIit4bCfP0mPXzj9lrWbq0-g0urZrdqIXSHa5T2WSZyTYkylYdrdcLUl02B1F95sA&__tn__=%2CO%2CP-R,1826,0,positive
pfbid0GXCKewL7k9Qsmdp5i2ggLWgtXw5GW1ZSNSPBp6WYrLzsSh9RUJmcLPfLqFP5ELZHl,OpenAI,33,510,36,0,0,0,0,0,546,79,"Since 2012, the amount of compute for training to AlexNet-level performance on ImageNet has been decreasing exponentially — halving every 16 months, in total a 44x improvement. By contrast, Moore's Law would only have yielded an 11x cost improvement: https://openai.com/blog/ai-and-efficiency/",2020-05-05T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t1.6435-9/95582019_1399137263608215_6705405446204686336_n.png?stp=dst-png_s960x960&_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=sV6P8lfiYk8AX_ovgG8&_nc_ht=scontent.fcai19-7.fna&oh=00_AfApzrL9gmFx2dVlx0EBuZYJUkw0jS5Z12OysTkuvjKhHw&oe=64F08DA3,https://www.facebook.com/openai.research/posts/pfbid0GXCKewL7k9Qsmdp5i2ggLWgtXw5GW1ZSNSPBp6WYrLzsSh9RUJmcLPfLqFP5ELZHl?__cft__[0]=AZWep8B6KpZGlGt_0mqHbDgDGLNGaMPCfVRH9G7o3CyAw2T1IbGU11zbItYB2v9NkieiXrJgZbCnny-3XbWOzo2zzlWzX5Js0q9iQNqxRXnVGWHmzklPxF-ROq6Qk-qCOLKxJJ6MDmJTUtPxzpkD4vh5eq4CQYvfLXRwguuLvwUSdv2nN7EYDDQmFEC1AZNd7PW3s6Z57cGaVkViPJjz78GF&__tn__=%2CO%2CP-R,579,0,positive
pfbid0zE6DPpxLCpYDqwgtqdCxXfY9Hs8sKPBZi3UBQixi6BT4or9FtmeehXmXCV2RsfbYl,OpenAI,114,483,55,39,0,0,0,0,577,54,"Introducing Jukebox, a neural net that generates music, including rudimentary singing, as raw audio in a variety of genres and artist styles. We're releasing a tool for everyone to explore the generated samples, as well as the model and code: https://openai.com/blog/jukebox/",2020-04-30T00:00:00,['blob:https://www.facebook.com/4e2e5d88-8b08-41ef-8530-73cd147752d5'],https://scontent.fcai19-7.fna.fbcdn.net/v/t15.13418-10/94976179_802439936951914_8132937521811161088_n.jpg?stp=dst-jpg_p640x640&_nc_cat=102&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=ArGNel84b6wAX9J7IV6&_nc_ht=scontent.fcai19-7.fna&oh=00_AfA8j3HGAgYB_JGNhWh8JeUCNK8kV9GdrD6CNGDc3x-v3w&oe=64CE7B09,https://www.facebook.com/openai.research/posts/pfbid0zE6DPpxLCpYDqwgtqdCxXfY9Hs8sKPBZi3UBQixi6BT4or9FtmeehXmXCV2RsfbYl?__cft__[0]=AZXY_Razauh9vYUXA94BQS_x8Am047Wtp9tIiknFaULxvu5cStguf3k864ZuUtuoRWcs8WBF_GGbf92rfAf_hyl5vjP_dJHLDfzpgS0Q5cxqW5d_MWWxBnoXSJ54n-aeamwM0xl5Z2CPAdjidTcMdcG9iAvI-GX6akcoPnuOrYuxSTvZbjPgqJjbZBrqji1Q4QvVDfXR5lHnSzw9qBQZICiNGl2elEwO3YkuZUfkJhL1Kw&__tn__=%2CO%2CP-R,691,0,positive
pfbid02Nci2KkWRSnoiTUjYjGrieN4wKi3JCuTXeKWEzanR4hP3UPNytPsDKgCpTyydkvTjl,OpenAI,116,635,60,0,0,0,0,0,695,50,We're standardizing OpenAI's deep learning framework on PyTorch to increase our research productivity at scale on GPUs (and have just released a PyTorch version of Spinning Up in Deep RL): https://twitter.com/OpenAI/status/1222927584033247232,2020-01-30T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t1.6435-9/83896874_1320269424828333_6405901231872540672_n.png?stp=dst-png_s960x960&_nc_cat=108&ccb=1-7&_nc_sid=730e14&_nc_ohc=64kDD6x2rbMAX-OqPAd&_nc_ht=scontent.fcai19-7.fna&oh=00_AfDgDZwAG9zvAZ2ryYIZcGZ0-KQRiQVjbnGn-me95BEgJA&oe=64F0B5C9,https://www.facebook.com/openai.research/posts/pfbid02Nci2KkWRSnoiTUjYjGrieN4wKi3JCuTXeKWEzanR4hP3UPNytPsDKgCpTyydkvTjl?__cft__[0]=AZWO5TzRIELlhLAW1ebJ6FMLQ-AkXyZrDKhV21sphpQ1MkEai0epAeRxUCc0dBeQ1IRqVKc3FTjyO4K7lkeYyiI_7f2NY1xD4l8UaBOXneeTgj4SvK4_DVC9K7SL9CLaHwjS9D9gzh_ZvXwrgqCaiTB_zvSBOL3dYCeTfxACzBwXQbFD_MTO0Q5437HnW7X0lF9J-qLP9QuPINmqJtfuWnWc&__tn__=%2CO%2CP-R,811,0,positive
pfbid02SbaVaC1z25KsiUMpkmrY58ZTyVaZcHTnRTn3SP2Wb7RgUPi38S7KFGkEJNTjT1Ufl,OpenAI,44,416,42,0,0,0,0,0,458,30,"We're releasing ""Dota 2 with Large Scale Deep Reinforcement Learning"", a scientific paper analyzing our findings from our 3-year Dota project: https://openai.com/projects/five/One highlight — we trained a new agent, Rerun, which has a 98% win rate vs the version that beat @OGEsports.",2019-12-13T00:00:00,[],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/10332535334742334873?url=https%3A%2F%2Fopenai.com%2Fcontent%2Fimages%2F2019%2F12%2FOPEN_AI_DOTA_FINALS_3_DSC1231.JPG&fb_obo=1&utld=openai.com&stp=c0.95.2000.1044a_dst-jpg_flffffff_q75_s500x261&ccb=13-1&oh=06_AbF6p-HICXOlVnPMEjxsWaGDYXzmYb17UkEBwKWK1MGZwQ&oe=64CB057A&_nc_sid=ff403b https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/11374216730095658970?url=https%3A%2F%2Fwww.ox.ac.uk%2Fsites%2Ffiles%2Foxford%2Ffield%2Ffield_image_highlight%2Fannie-spratt-sggw4-qDD54-unsplash.jpg&fb_obo=1&utld=ac.uk&stp=c0.5000x0.5000f_dst-emg0_p98x98_q75&ccb=13-1&oh=06_AbGARO_mJ_4ADkEIDdEsPZay_HjqrgnssNQJFTn4DK6lyA&oe=64CAF4C7&_nc_sid=dbad39,https://www.facebook.com/openai.research/posts/pfbid02SbaVaC1z25KsiUMpkmrY58ZTyVaZcHTnRTn3SP2Wb7RgUPi38S7KFGkEJNTjT1Ufl?__cft__[0]=AZUYt_MRjDECon84e-Jx_j-KXewp_iem9a50VcVamLRsTVLFVmPZW3N-5A1XpLdsCpnxn4SOwhB6ygrzlPRbvr9vN06wCOsWMuWkVvmh1icwADnSgOQrQaj-llCO3QRHo3yAq1e6WA1oauC-Clc0nIBmzAeDOnJipBr5E-os_C0oWGi4IwmIWsWz-DFon3L712rGTKvdL5e8HUujf8Wws-AG&__tn__=%2CO%2CP-R,502,0,positive
pfbid0hbsgcUQ9dMQebDqr5jMyLg8ijdy8vfi6knqsDbtBHPed4hfxwX2pUBzTHArc2H3Wl,OpenAI,43,303,0,24,0,0,0,0,327,16,"A surprising deep learning mystery:Contrary to conventional wisdom, performance of unregularized CNNs, ResNets, and transformers is non-monotonic: improves, then gets worse, then improves again with increasing model size, data size, or training time.https://openai.com/blog/deep-double-descent/",2019-12-05T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t1.6435-9/79932933_1270728539782422_5130827674796687360_n.png?stp=dst-png_s1080x2048&_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=xpZHdEfEJoEAX9hIxSR&_nc_ht=scontent.fcai19-7.fna&oh=00_AfCxT0Y3istq4qdtgG7Ffrpe9XsKK8t8wWz1tWijfH-CIA&oe=64F0BFA0,https://www.facebook.com/openai.research/posts/pfbid0hbsgcUQ9dMQebDqr5jMyLg8ijdy8vfi6knqsDbtBHPed4hfxwX2pUBzTHArc2H3Wl?__cft__[0]=AZWohJcYh1ms6tOLX954firYAwWBksAzgxiO2KL6fR-iurpFaqMGK79O8K_cv_KbOzFACV9WJk6M09VpXhU1cDz0TjRiUYkEd7wgG9NVWQuBpu1e_Hhp0u6HcMxt2zpndcruBRGS5EuabzIbQlgy3H8Q_wMXvhdoLhSoRbi0VZ2LSkMizpFevbNbuGDu0sopmnCRdmubWTvCHmp48Ah1sy1P&__tn__=%2CO%2CP-R,370,0,positive
pfbid02LpJYMzysvaKK7KcaL5mydXaHc2gW584oY6wRyQFMMXHkYL9LbybzaBKCu8KZcp92l,OpenAI,40,215,19,0,0,0,0,0,234,9,"We're releasing Procgen Benchmark, 16 procedurally-generated environments for measuring how quickly a reinforcement learning agent learns generalizable skills.This has become the standard research platform used by the OpenAI RL team: https://openai.com/blog/procgen-benchmark/",2019-12-03T00:00:00,[],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/143141077403433689?url=https%3A%2F%2Fopenai.com%2Fcontent%2Fimages%2F2019%2F12%2Fog-image.jpg&fb_obo=1&utld=openai.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbGlSm6GXValX170a_STnd5A_Fg_fFouTnU16wspsUlVjw&oe=64CAE5D4&_nc_sid=dbad39 https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/8iuTX4LlGZO.png,https://www.facebook.com/openai.research/posts/pfbid02LpJYMzysvaKK7KcaL5mydXaHc2gW584oY6wRyQFMMXHkYL9LbybzaBKCu8KZcp92l?__cft__[0]=AZUX-V6vGh3Q4rFSwDMFtX4owTJpbVMOXF15UzI8APePD3c87waSizy1eo99UKQm5QaD7UKdu2AVxoxQ6hxPIFWcmfTEWWeIXRjmZEm8tOGqgBfoHePeNSHKiWrpzBZj0Si8U0C_nwqQ4_bgjLzdCt0XoQhYfsPMAQKr7bQUK6dPee6aUCupIBWYG3442PR46l05cMrJWwClktLUhyBPghqE&__tn__=%2CO%2CP-R,274,0,positive
pfbid0bwNT8rA56RND34ReK4Q2gYoG86p5zynXAgFMknhmeQvor2Fg5PoU9uisLc2NvXrrl,OpenAI,36,191,24,0,0,0,0,0,215,8,"We're releasing Safety Gym, environments and tools to evaluate reinforcement learning with safety constraints: https://openai.com/blog/safety-gym/Aims to ultimately help agents satisfy real-world safety requirements while training (eg not driving off a cliff, not writing abusive content).",2019-11-21T00:00:00,[],https://external.fcai19-7.fna.fbcdn.net/emg1/v/t13/11810377064647312513?url=https%3A%2F%2Fopenai.com%2Fcontent%2Fimages%2F2019%2F11%2Fsafety-gym-cover-2.png&fb_obo=1&utld=openai.com&stp=c0.5000x0.5000f_dst-jpg_flffffff_p500x261_q75&ccb=13-1&oh=06_AbGfuZIE5pZM3FsoYjZsMm8DFWHughbZ2iZQ7o6JqI9ajQ&oe=64CAA037&_nc_sid=dbad39,https://www.facebook.com/openai.research/posts/pfbid0bwNT8rA56RND34ReK4Q2gYoG86p5zynXAgFMknhmeQvor2Fg5PoU9uisLc2NvXrrl?__cft__[0]=AZUY31j56-d5evFZ0ZdFsi7BL3kWbP45mXuDhm808vVKHN8wvmQ-K_NBEf7PHOhH5pHTcgU5FLZ6nX-OBF6jWHK3NhTS-NxG_6K8f14QBqMaN5KO9LJI_j8o7Bv1Ax6EMsOWgI77EiJIDn_MJRr4zOvUcyCZ3hx2r7-A2zO4U58TIX0061fAzzK4Wn0c4wRbnLqnK-hmHNkcLEnezvzt8oXX&__tn__=%2CO%2CP-R,251,0,positive
pfbid0Le9XENh122dqnknsDrVLd1cLQZURcgp4ob2PtEAcRBCoxtUt9RWKk1JX4etTNcRKl,OpenAI,57,252,29,22,0,0,0,0,303,43,We're releasing the 1.5billion parameter GPT-2 model as part of our staged release publication strategy.- GPT-2 output detection model: https://github.com/.../gpt-2-output.../tree/master/detector- Research from partners on potential malicious uses: https://d4mucfpksywv.cloudfront.net/papers/GPT_2_Report.pdf- More details: https://openai.com/blog/gpt-2-1-5b-release/,2019-11-05T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t1.6435-9/75543459_1244743475714262_1371225926234275840_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=730e14&_nc_ohc=nBK3Bi_4l9QAX88GM_l&_nc_ht=scontent.fcai19-7.fna&oh=00_AfD1XTIun10Se-BEtB-_Exq_T2wPAlfx5q-M34ayZZKngQ&oe=64F09C2E,https://www.facebook.com/openai.research/posts/pfbid0Le9XENh122dqnknsDrVLd1cLQZURcgp4ob2PtEAcRBCoxtUt9RWKk1JX4etTNcRKl?__cft__[0]=AZVBOkRhLMXDX7KlaS5CGew2kPcU_sSN-94s7-kfgM0hY2AIVPO6LKpguvUIUjT7Nqq9NUdP-UNKt16qqwuVNThaAm7dvjCiJzyYVlq1g-Zb3XHoGeooJjC9uk_mt2hMDMllu3k9AhIaVoX6g3yzXcyqC7epE0v6fL3iGrDiexmAWxArYDqQUHCtzLrlC5Rngt5qFJCF8UJ7-eumnJ7UPFDk&__tn__=%2CO%2CP-R,360,0,positive
pfbid0vb6ZpGokbTMYK6Pr2cMNhpepzLgqiRQfSjkrtRx4rRCS7zyZCJsFXDP1SNP58ZMml,OpenAI,31,407,56,0,0,0,0,0,463,36,"""Solving the Rubik's Cube with a Robot Hand"" took many human hands over the past 2.5 years — meet our Robotics team! (PS they're hiring: https://openai.com/jobs/!)",2019-10-16T00:00:00,[],https://scontent.fcai19-7.fna.fbcdn.net/v/t1.6435-9/72568141_1227404510781492_891891542887759872_n.jpg?stp=dst-jpg_p180x540&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=TouZQIEDPFIAX8syxvM&_nc_ht=scontent.fcai19-7.fna&oh=00_AfAZLOYxjk8SryX9OT3LlM1gS3pGtJz7SozhknJPAqRsFQ&oe=64F0A557,https://www.facebook.com/openai.research/posts/pfbid0vb6ZpGokbTMYK6Pr2cMNhpepzLgqiRQfSjkrtRx4rRCS7zyZCJsFXDP1SNP58ZMml?__cft__[0]=AZUhOkE32NBwrJAx65JvYSq8UeoslsdJZZgC81xnLYSNGlqLfFi_57MwLLfl3pTc64EO1ksDpJbpw1DAYznFGDoAqznMsCzKlAEnePVvd7zB0D0UrdTFcIOmzPti2qDtqdT6otTdDTp8DpfQkv866kDIZamid-cyXZADBq6P-p-vtsENyzPVHXxJIe19obcDjRJZDUdArlODeR1iLU962GFt&__tn__=%2CO%2CP-R,494,0,positive
